relone_date,gov_date,type,feature,description
2024/04/29,2024/05/03,Enhancement,List Page,"The document list will now display partial data in situations where there is an issue retrieving data for one or more documents. When this occurs, you will see a red exclamation mark in a cell on the list page with the message 'Data retrieval failed'."
2024/04/29,2024/04/29,Enhancement,Collect,This feature adds an option to allow users to include/exclude linked files related to Gmail emails in the mailbox export.
2024/04/23,2024/04/23,Enhancement,Review Center,"Using the new Review Center Coding field, you can now easily track coding decisions made on documents in queues, including what queue the document was in, when it was coded, and by which reviewer."
2024/04/22,TBA,Enhancement,Collect,You can now filter the list of SharePoint sites presented in the non-custodial wizard step to only those you have selected for collection. This allows for easy verification that you've selected all of the sites you intended.
2024/04/19,N/A,Enhancement,Contracts,"Contracts OCR now supports 10 languages, in addition to English. There is a new required Languages field when creating a Contracts OCR Set where you can select the language you want Contracts OCR to recognize while running the job."
2024/04/18,2024/04/18,Enhancement,Processing,GovSlack workspace exports support has been added to RSMF Conversion in Processing.
2024/04/17,2024/04/18,Enhancement,RDO,Long Text Fields storage behavior is now null by default. You will now have to select whether or not you want Long Text Fields to be stored in Data Grid or SQL. A new tooltip was introduced to help you make an informed decision.
2024/04/16,2024/04/16,Enhancement,Processing,You can now extract Microsoft Teams messages as RSMF during the processing of PST files. Use the dedicated option in Short Message Conversion Settings category in Processing Profile to enable this new capability.
2024/04/15,2024/04/15,Enhancement,RelativityOne Staging Explorer,"Two new settings have been added to RelativityOne Staging Explorer. 'Override Files' lets you optionally overwrite files that have the same name in the destination folder. 'Transfer Empty Folder' lets you optionally recreate corresponding empty folders in the destination folder that may exist in the source folder. Both settings are set to ""On"" by default."
2024/04/15,2024/04/15,Enhancement,Preservation,"The Preservation in-place application now supports Microsoft Gov Preservation in GCC High environments for Microsoft Mailbox, OneDrive, and SharePoint."
2024/04/12,2024/04/12,Enhancement,Legal Hold,"We have updated fields and tabs for our Legacy Preservation integration with a ""Legacy"" label, to clarify these fields and labels for clients using the new Preservation application."
2024/04/12,2024/04/12,Resolved defect,Legal Hold,Fixed the Global Reminders query which was excluding custodians where Custodian Interaction field was not set during import.
2024/04/12,2024/04/12,Enhancement,Legal Hold,Improvements have been made to the Global Summary and Employment Status Change Reports to handle larger amounts of custodians in a workspace.
2024/04/10,TBA,Enhancement,Processing,Improvements have been made to OneNote processing: Improved processing performance; Additional OneNote formats are supported; All child objects are extracted as separate documents; Text Extraction is performed during discovery (not OCR); Password Bank supports OneNote files
2024/04/10,N/A,Deprecation,PI Detect and Data Breach Response,"The project dashboard, reviewer progress, flags, custom codings, coding panel, annotation tab, and features in the Privacy Workflow tab will be deprecated"
2024/04/08,2024/04/08,Enhancement,Review Center,"Using the Random Documents setting on a prioritized review queue, you can choose how many random documents you'd like the queue to serve to provide a health mixture to achieve better quality training."
2024/04/04,2024/04/04,Enhancement,Review Center,"You can now export a png image of all Review Center charts, in addition to exporting a csv file of the tables."
2024/04/02,2024/04/02,Resolved defect,Redact,"Resolved a defect where text outside the viewable boundaries of a PDF document is not redactable. To remediate this, we have added a warning to the viewer when there is content outside of the displayable boundary, so that you can download it and use the Redact external markup workflow. See the KB article for REL-919080 for more details."
2024/04/01,2024/04/01,Deprecation,Send to CaseMap,"The Send To CaseMap Mass Operation has been deprecated since 2021, but as of this release the underlying code was removed from RelativityOne completely."
2024/04/01,2024/04/01,Enhancement,Relativity User Import Application,"The queue tab has been removed from the Relativity User Import Application. The user import template CSV can now be found on the documentation site, see https://help.relativity.com/RelativityOne/Content/Advice_Hub_Solutions/User_Import_Application.htm#Importutilityjob"
